 2B  600.744125 5.440E-30 6.045E-01.07480.102  731.35090.69-.000541       1 0 0 02       0 1 1 01                    Q 15f     376663243110 9 711  1302.0 1302.0
 2B  600.762278 3.840E-30 6.052E-01.07550.103  720.30800.68-.000533       1 0 0 02       0 1 1 01                    Q 14f     376663243110 9 711   870.0  870.0
 2B  600.779190 5.270E-30 6.061E-01.07620.104  710.00110.68-.000523       1 0 0 02       0 1 1 01                    Q 13f     376663243110 9 711  1134.0 1134.0
 2B  600.794868 3.650E-30 6.059E-01.07700.105  700.43020.68-.000514       1 0 0 02       0 1 1 01                    Q 12f     376663243110 9 711   750.0  750.0
 2B  600.809318 4.920E-30 6.075E-01.07780.107  691.59540.68-.000504       1 0 0 02       0 1 1 01                    Q 11f     376663243110 9 711   966.0  966.0
 2B  600.822545 3.340E-30 6.080E-01.07870.108  683.49670.68-.000493       1 0 0 02       0 1 1 01                    Q 10f     376663243110 9 711   630.0  630.0
 2B  600.834553 4.390E-30 6.087E-01.07970.109  676.13420.68-.000481       1 0 0 02       0 1 1 01                    Q  9f     376663243110 9 711   798.0  798.0
 2B  600.845348 2.900E-30 6.093E-01.08080.111  669.50780.68-.000469       1 0 0 02       0 1 1 01                    Q  8f     376663243110 9 711   510.0  510.0
 2B  600.854933 3.690E-30 6.099E-01.08200.112  663.61760.68-.000455       1 0 0 02       0 1 1 01                    Q  7f     376663243110 9 711   630.0  630.0
 2B  600.863313 2.340E-30 6.093E-01.08340.114  658.46370.68-.000440       1 0 0 02       0 1 1 01                    Q  6f     376663243110 9 711   390.0  390.0
 2B  600.870489 2.840E-30 6.110E-01.08490.116  654.04600.69-.000423       1 0 0 02       0 1 1 01                    Q  5f     376663243110 9 711   462.0  462.0
 2B  600.876465 1.690E-30 6.111E-01.08660.118  650.36450.69-.000404       1 0 0 02       0 1 1 01                    Q  4f     376663243110 9 711   270.0  270.0
 2B  600.881243 1.870E-30 6.122E-01.08850.120  647.41940.70-.000383       1 0 0 02       0 1 1 01                    Q  3f     376663243110 9 711   294.0  294.0
 2B  604.563264 1.070E-30 2.287E-01.08660.116  650.35320.690.000417       1 0 0 02       0 1 1 01                    R  4e     376663243110 9 711   462.0  378.0
 2B  606.032665 1.550E-30 2.538E-01.08340.112  658.43990.680.000302       1 0 0 02       0 1 1 01                    R  6e     376663243110 9 711   630.0  546.0
 2B  606.767227 1.270E-30 2.640E-01.08200.111  663.58590.680.000246       1 0 0 02       0 1 1 01                    R  7e     376663243110 9 711   510.0  450.0
 2B  607.243544 3.690E-30 4.948E-01.06580.074  935.62400.74-.000665       0 1 1 01       0 0 0 01                    P 50e     376553243110 9 711  2970.0 3030.0
 2B  607.501688 1.980E-30 2.712E-01.08080.109  669.46700.680.000194       1 0 0 02       0 1 1 01                    R  8e     376663243110 9 711   798.0  714.0
 2B  607.938698 6.070E-30 4.976E-01.06590.074  898.96170.74-.000668       0 1 1 01       0 0 0 01                    P 49e     376563243110 9 711  4074.0 4158.0
 2B  608.236041 1.540E-30 2.766E-01.07970.108  676.08320.680.000144       1 0 0 02       0 1 1 01                    R  9e     376663243110 9 711   630.0  570.0
 2B  608.634692 5.080E-30 5.010E-01.06600.075  863.03040.74-.000672       0 1 1 01       0 0 0 01                    P 48e     376563243110 9 711  2850.0 2910.0
 2B  608.970279 2.330E-30 2.834E-01.07870.107  683.43440.680.000096       1 0 0 02       0 1 1 01                    R 10e     376663243110 9 711   966.0  882.0
